iter	Passed	Remaining
276	650	1697
277	651	1691
278	652	1685
279	652	1678
280	653	1672
281	654	1666
282	655	1660
283	656	1654
284	657	1648
285	658	1643
286	659	1637
287	659	1631
288	660	1625
289	661	1620
290	662	1614
291	663	1608
292	664	1602
293	665	1597
294	666	1592
295	667	1586
296	668	1581
297	669	1577
298	670	1573
299	672	1568
300	673	1563
301	674	1558
302	675	1554
303	676	1549
304	677	1543
305	678	1538
306	679	1534
307	680	1529
308	681	1524
309	682	1519
310	683	1514
311	684	1509
312	685	1505
313	686	1500
314	687	1495
315	688	1490
316	689	1484
317	690	1479
318	690	1474
319	691	1470
320	692	1465
321	693	1460
322	694	1455
323	695	1450
324	696	1445
325	697	1441
326	698	1436
327	698	1431
328	699	1427
329	700	1422
330	701	1417
331	702	1413
332	703	1408
333	703	1403
334	704	1399
335	705	1394
336	706	1389
337	707	1385
338	708	1380
339	708	1376
340	709	1371
341	710	1367
342	711	1363
343	712	1359
344	713	1354
345	714	1350
346	715	1346
347	716	1341
348	717	1337
349	717	1333
350	718	1328
351	719	1324
352	720	1320
353	721	1316
354	722	1312
355	723	1308
356	723	1303
357	724	1299
358	725	1295
359	726	1291
360	727	1288
361	728	1284
362	729	1280
363	730	1276
364	731	1272
365	732	1268
366	733	1264
367	734	1260
368	735	1256
369	735	1253
370	736	1249
371	737	1245
372	738	1241
373	739	1237
374	740	1233
375	741	1230
376	742	1226
377	743	1222
378	743	1218
379	744	1215
380	745	1211
381	746	1207
382	747	1203
383	748	1200
384	748	1196
385	749	1192
386	750	1189
387	751	1185
388	752	1181
389	753	1178
390	754	1174
391	754	1170
392	755	1167
393	756	1164
394	757	1160
395	758	1157
396	759	1153
397	760	1150
398	761	1146
399	762	1143
400	763	1139
401	763	1136
402	764	1133
403	765	1129
404	766	1126
405	767	1123
406	768	1119
407	769	1116
408	770	1113
409	771	1109
410	772	1106
411	773	1103
412	774	1100
413	774	1096
414	775	1093
415	776	1090
416	777	1087
417	778	1083
418	779	1080
419	780	1077
420	780	1074
421	781	1070
422	782	1067
423	783	1064
424	784	1061
425	785	1057
426	786	1054
427	786	1051
428	787	1048
429	788	1045
430	789	1042
431	790	1039
432	791	1036
433	792	1033
434	793	1030
435	793	1027
436	795	1024
437	796	1021
438	796	1018
439	797	1015
440	798	1012
441	799	1009
442	800	1006
443	801	1003
444	802	1001
445	803	998
446	804	995
447	805	992
448	806	989
449	807	986
450	808	984
451	809	981
452	810	978
453	811	975
454	812	973
455	813	970
456	814	967
457	815	965
458	817	963
459	818	960
460	819	958
461	820	955
462	822	953
463	822	950
464	823	947
465	824	945
466	825	942
467	826	939
468	827	936
469	828	933
470	828	931
471	830	928
472	831	926
473	832	923
474	833	920
475	834	918
476	834	915
477	835	912
478	836	909
479	837	907
480	838	904
481	839	901
482	839	898
483	840	896
484	841	893
485	842	891
486	843	888
487	844	885
488	845	883
489	846	880
490	846	877
491	847	875
492	848	872
493	849	870
494	850	867
495	851	865
496	852	862
497	853	860
498	854	857
499	855	855
500	856	852
501	857	850
502	858	848
503	859	845
504	860	843
505	861	840
506	862	838
507	863	836
508	864	833
509	865	831
510	866	828
511	867	826
512	868	824
513	868	821
514	869	819
515	870	816
516	871	814
517	872	811
518	873	809
519	874	807
520	875	804
521	876	802
522	876	799
523	877	797
524	878	795
525	879	792
526	880	790
527	881	787
528	882	785
529	883	783
530	883	780
531	884	778
532	885	776
533	886	773
534	887	771
535	889	769
536	890	767
537	891	765
538	892	763
539	893	760
540	894	758
541	894	756
542	895	754
543	896	751
544	897	749
545	898	747
546	899	745
547	900	742
548	902	741
549	903	739
550	904	737
551	905	735
552	906	733
553	908	731
554	909	729
555	910	726
556	911	724
557	912	722
558	913	720
559	914	718
560	915	716
561	916	714
562	917	711
563	918	709
564	919	707
565	919	705
566	920	703
567	921	701
568	922	699
569	924	697
570	925	694
571	926	692
572	926	690
573	927	688
574	928	686
575	929	684
576	931	682
577	932	680
578	933	678
579	934	676
580	935	674
581	936	672
582	937	670
583	939	669
584	940	667
585	941	665
586	942	663
587	944	662
588	947	661
589	948	659
590	950	657
591	952	656
592	953	654
593	954	652
594	955	650
595	957	648
596	958	646
597	959	644
598	960	643
599	961	641
600	962	639
601	963	637
602	964	635
603	965	633
604	966	631
605	967	629
606	968	627
607	970	625
608	971	623
609	972	621
610	972	619
611	974	617
612	975	615
613	976	613
614	977	611
615	977	609
616	979	607
617	979	605
618	980	603
619	981	601
620	982	599
621	983	597
622	985	596
623	986	594
624	987	592
625	988	590
626	989	588
627	990	586
628	991	584
629	992	582
630	993	580
631	994	578
632	995	577
633	996	575
634	997	573
635	998	571
636	999	569
637	1000	567
638	1001	565
639	1002	564
640	1003	562
641	1005	560
642	1006	558
643	1007	556
644	1008	554
645	1008	552
646	1009	550
647	1010	549
648	1011	547
649	1012	545
650	1013	543
651	1015	541
652	1016	540
653	1017	538
654	1018	536
655	1019	534
656	1020	532
657	1021	530
658	1022	528
659	1023	527
660	1024	525
661	1025	523
662	1025	521
663	1026	519
664	1028	517
665	1029	516
666	1030	514
667	1031	512
668	1032	510
669	1033	509
670	1034	507
671	1035	505
672	1036	503
673	1037	501
674	1038	500
675	1039	498
676	1040	496
677	1041	494
678	1042	492
679	1043	491
680	1044	489
681	1046	487
682	1047	486
683	1048	484
684	1049	482
685	1050	480
686	1050	478
687	1051	477
688	1052	475
689	1053	473
690	1054	471
691	1055	469
692	1056	468
693	1057	466
694	1058	464
695	1060	463
696	1061	461
697	1062	459
698	1063	457
699	1064	456
700	1065	454
701	1066	452
702	1067	450
703	1068	449
704	1069	447
705	1070	445
706	1071	443
707	1072	442
708	1073	440
709	1074	438
710	1076	437
711	1077	435
712	1078	433
713	1079	432
714	1079	430
715	1080	428
716	1081	426
717	1082	425
718	1083	423
719	1084	421
720	1085	420
721	1086	418
722	1087	416
723	1088	415
724	1090	413
725	1091	411
726	1092	410
727	1093	408
728	1094	406
729	1095	405
730	1096	403
731	1097	401
732	1098	400
733	1099	398
734	1100	396
735	1101	395
736	1102	393
737	1103	391
738	1105	390
739	1106	388
740	1107	387
741	1108	385
742	1109	383
743	1110	382
744	1111	380
745	1112	378
746	1113	377
747	1114	375
748	1115	373
749	1116	372
750	1117	370
751	1118	368
752	1119	367
753	1120	365
754	1121	363
755	1122	362
756	1123	360
757	1124	359
758	1125	357
759	1126	355
760	1127	354
761	1128	352
762	1129	350
763	1130	349
764	1131	347
765	1132	346
766	1134	344
767	1135	343
768	1136	341
769	1137	339
770	1138	338
771	1139	336
772	1140	334
773	1141	333
774	1142	331
775	1143	330
776	1144	328
777	1145	326
778	1146	325
779	1147	323
780	1148	321
781	1149	320
782	1150	318
783	1151	317
784	1152	315
785	1153	314
786	1154	312
787	1155	310
788	1156	309
789	1157	307
790	1158	306
791	1159	304
792	1160	302
793	1161	301
794	1162	299
795	1163	298
796	1164	296
797	1165	295
798	1167	293
799	1169	292
800	1170	290
801	1172	289
802	1174	288
803	1175	286
804	1176	285
805	1177	283
806	1179	282
807	1181	280
808	1182	279
809	1183	277
810	1184	276
811	1185	274
812	1186	272
813	1188	271
814	1189	269
815	1190	268
816	1191	266
817	1192	265
818	1193	263
819	1195	262
820	1196	260
821	1197	259
822	1198	257
823	1199	256
824	1200	254
825	1201	253
826	1202	251
827	1203	250
828	1204	248
829	1205	246
830	1206	245
831	1207	243
832	1208	242
833	1209	240
834	1211	239
835	1212	237
836	1213	236
837	1214	234
838	1215	233
839	1216	231
840	1217	230
841	1218	228
842	1219	227
843	1220	225
844	1221	224
845	1222	222
846	1223	221
847	1225	219
848	1226	218
849	1227	216
850	1228	215
851	1229	213
852	1230	212
853	1231	210
854	1232	209
855	1234	207
856	1235	206
857	1236	204
858	1237	203
859	1238	201
860	1239	200
861	1240	198
862	1242	197
863	1243	195
864	1244	194
865	1245	192
866	1245	191
867	1246	189
868	1248	188
869	1249	186
870	1250	185
871	1251	183
872	1252	182
873	1253	180
874	1255	179
875	1256	177
876	1257	176
877	1258	174
878	1259	173
879	1261	171
880	1262	170
881	1263	168
882	1263	167
883	1264	165
884	1266	164
885	1267	163
886	1268	161
887	1270	160
888	1271	158
889	1272	157
890	1273	155
891	1274	154
892	1275	152
893	1276	151
894	1277	149
895	1278	148
896	1279	146
897	1280	145
898	1281	143
899	1282	142
900	1283	141
901	1285	139
902	1286	138
903	1287	136
904	1288	135
905	1289	133
906	1290	132
907	1291	130
908	1292	129
909	1293	127
910	1294	126
911	1295	124
912	1296	123
913	1297	122
914	1298	120
915	1299	119
916	1301	117
917	1302	116
918	1303	114
919	1304	113
920	1305	111
921	1306	110
922	1307	109
923	1308	107
924	1309	106
925	1310	104
926	1311	103
927	1312	101
928	1313	100
929	1315	98
930	1316	97
931	1317	96
932	1318	94
933	1319	93
934	1320	91
935	1321	90
936	1322	88
937	1323	87
938	1324	86
939	1325	84
940	1326	83
941	1327	81
942	1328	80
943	1329	78
944	1331	77
945	1332	76
946	1333	74
947	1334	73
948	1335	71
949	1336	70
950	1337	68
951	1338	67
952	1338	66
953	1339	64
954	1340	63
955	1341	61
956	1342	60
957	1344	58
958	1346	57
959	1347	56
960	1348	54
961	1349	53
962	1350	51
963	1351	50
964	1352	49
965	1353	47
966	1354	46
967	1355	44
968	1355	43
969	1356	41
970	1357	40
971	1359	39
972	1360	37
973	1361	36
974	1362	34
975	1363	33
976	1364	32
977	1365	30
978	1366	29
979	1367	27
980	1368	26
981	1369	25
982	1370	23
983	1371	22
984	1372	20
985	1373	19
986	1375	18
987	1376	16
988	1377	15
989	1379	13
990	1380	12
991	1381	11
992	1381	9
993	1383	8
994	1384	6
995	1385	5
996	1386	4
997	1387	2
998	1388	1
999	1389	0
